sensor data script
Sending UDP data to 10.0.0.100:5555
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
Sent to 10.0.0.100:5555 - CO2:400ppm
Sent to 10.0.0.100:5555 - Temperature:25C
Sent to 10.0.0.100:5555 - Humidity:60%
Sent to 10.0.0.100:5555 - Pressure:1013hPa
